FREELANCER DASHBOARD,,,,,,,
,,,,,,,
== INVOICES ==,Client,Invoice #,Amount,Date Sent,Days Out,Status,
,Acme Corp,INV-047,$3200,2026-05-28,18,c:red: OVERDUE,
,Widgets LLC,INV-048,$1500,2026-06-10,5,c:green: OK,
,Starter Inc,INV-049,$2800,2026-06-12,3,c:green: OK,
,,,,,,,
== HOURS THIS WEEK ==,Mon,Tue,Wed,Thu,Fri,Sat,Total
,6,8,7,8,5,0,Σ
,,,,,,,
== QUARTERLY TAX ==,Next Deadline,Days Left,YTD Gross,Est Tax,,,
,Sep 15 2026,ext: github:cemheren/quicksheet-cal-ext,$48000,ext: github:cemheren/quicksheet-1099-ext,,,
,,,,,,,
== EXPENSES YTD ==,Category,Jan-Jun Total,Trend,,,,
,Software,$420,s: B14::G14,,,,
,Travel,$1850,s: B15::G15,,,,
,Office,$310,s: B16::G16,,,,
,Mileage,ext: github:cemheren/quicksheet-mileage-ext,,,,,
,,,,,,,
== UPCOMING ==,Date,Event,Client,,,,
,Jun 16,Deliverable due,Acme Corp,,,,
,Jun 18,Invoice #46 follow-up,BigCo,,,,
,Jun 20,Client call,Widgets LLC,,,,
