Homelab,Status,,Cert expiry,,Network,,System,
,,,,,,,,
Plex,k8s: plex,,tls: plex.example.com,,ping: 1.1.1.1,,sysmon: cpu,
Pi-hole,k8s: pihole,,tls: pihole.example.com,,ping: 8.8.8.8,,sysmon: mem,
Jellyfin,docker: jellyfin,,tls: jellyfin.example.com,,ping: github.com,,sysmon: disk,
Nextcloud,docker: nextcloud,,tls: cloud.example.com,,portck: nextcloud.example.com:443,,sysmon: uptime,
Sonarr,docker: sonarr,,,,portck: localhost:8989,,,
Radarr,docker: radarr,,,,portck: localhost:7878,,,
,,,,,,,,
DNS,mxck: example.com,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
