Security Dashboard,,,,,,,,
,,,,,,,,
TLS Expiry,,DNS Lookups,,Network Recon,,Quick Tools,,
,,,,,,,,
tls: example.com,,dns: example.com,,subnet: 10.0.0.0/24,,jwt: <paste-token-here>,,
tls: api.example.com,,dns: api.example.com,,ping: 1.1.1.1,,hashgen: sha256 hello,,
tls: mail.example.com,,dns: mail.example.com,,ping: 8.8.8.8,,pw: 24,,
tls: vpn.example.com,,dns: vpn.example.com,,portck: localhost:443,,pw: 32,,
,,,,portck: localhost:22,,,,
,,,,,,,,
IP Intelligence,,Traceroute,,Hash Reference,,,,
,,,,,,,,
ip: 8.8.8.8,,tracert: example.com,,hashgen: md5 admin,,,,
ip: 1.1.1.1,,tracert: 8.8.4.4,,hashgen: sha1 test,,,,
ip: 9.9.9.9,,,,hashgen: sha256 password,,,,
,,,,,,,,
Inline Commands,,,,,,,,
,,,,,,,,
i: dig +short example.com,,,,,,,,
i: curl -sI https://example.com | grep -i server,,,,,,,,
i: ss -tlnp | head -10,,,,,,,,
,,,,,,,,
