Coursework,,,,Budget,,,,Tools,,,,News
Course,Assignment,Due,Status,Category,Spent,Budget,,Tool,Input,,,
CS 301,Homework 3,2026-05-20,🟡 In progress,Rent,1200,1200,,ext: github:Deskworks/quicksheet-jwtdec,,,
CS 420,Term paper,2026-06-01,⬜ Not started,Groceries,180,250,,jwtdec: paste-token-here,,,
MATH 201,Problem set 5,2026-05-18,🟢 Done,Coffee,34,40,,ext: github:Deskworks/quicksheet-regex,,,
PHYS 110,Lab report,2026-05-22,⬜ Not started,Textbooks,0,150,,regex: ^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$,,,
,,,,Transport,55,80,,ext: github:Deskworks/quicksheet-b64,,,
,,,,,,,,b64: SGVsbG8gV29ybGQh,,,
,,,,,,,,,,,,
,,,,,,,,ext: github:Deskworks/quicksheet-urlenc,,,
,,,,,,,,urlenc: hello world/path?q=test,,,
ext: github:Deskworks/quicksheet-budget,,,,,,,,,,,
budget: Rent:1200:1200,,,,,,,,,,,
budget: Groceries:180:250,,,,,,,,,,,
budget: Coffee:34:40,,,,,,,,,,,
budget: Textbooks:0:150,,,,,,,,,,,
budget: Transport:55:80,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GitHub,,,,HN Top 5,,,,World Clock,,,
ext: github:Deskworks/quicksheet-gitlog,,,ext: github:Deskworks/quicksheet-hntop,,,ext: github:Deskworks/quicksheet-worldtm,,,
gitlog: .:8,,,hntop: 5,,,worldtm: ny,,,
,,,,,,,,worldtm: london,,,
,,,,,,,,worldtm: tokyo,,,
